dataset/loan_data.csv
Customer_ID,Age,Gender,Monthly_Income,Credit_Score,Existing_Loan,Loan_Amount,Loan_Term_Years,Employment_Type,EMI_Percentage,Savings_Balance,Loan_Status
C101,25,Male,45000,710,No,300000,5,Salaried,25,120000,Approved
C102,41,Female,30000,580,Yes,800000,10,Business,55,40000,Rejected
C103,35,Male,85000,760,No,200000,3,Salaried,18,300000,Approved
C104,29,Female,50000,690,No,350000,5,Salaried,30,150000,Approved
C105,50,Male,28000,520,Yes,900000,15,Business,65,25000,Rejected
C106,31,Male,62000,740,No,250000,4,Salaried,22,180000,Approved
C107,45,Female,40000,610,Yes,600000,8,Self-Employed,48,70000,Rejected
C108,27,Male,72000,780,No,150000,3,Salaried,15,250000,Approved
C109,39,Female,38000,590,Yes,700000,12,Business,52,50000,Rejected
C110,33,Male,91000,800,No,220000,5,Salaried,20,350000,Approved
C111,26,Female,47000,705,No,280000,4,Salaried,27,130000,Approved
C112,48,Male,32000,560,Yes,850000,14,Business,60,35000,Rejected
C113,30,Male,67000,750,No,210000,3,Salaried,19,210000,Approved
C114,42,Female,36000,600,Yes,650000,10,Self-Employed,50,60000,Rejected
C115,28,Male,78000,790,No,180000,2,Salaried,14,280000,Approved
C116,52,Female,25000,510,Yes,950000,15,Business,68,20000,Rejected
C117,34,Male,83000,770,No,240000,5,Salaried,21,320000,Approved
C118,46,Female,39000,620,Yes,720000,11,Self-Employed,49,75000,Rejected
C119,29,Male,56000,715,No,310000,6,Salaried,29,160000,Approved
C120,40,Female,34000,570,Yes,810000,13,Business,58,45000,Rejected
C121,32,Male,69000,745,No,260000,4,Salaried,20,240000,Approved
C122,49,Female,31000,540,Yes,880000,14,Business,63,30000,Rejected
C123,27,Male,76000,785,No,170000,3,Salaried,16,290000,Approved
C124,44,Female,37000,605,Yes,690000,10,Self-Employed,51,65000,Rejected
C125,36,Male,88000,795,No,230000,5,Salaried,19,340000,Approved
C126,51,Female,26000,500,Yes,970000,15,Business,70,18000,Rejected
C127,31,Male,61000,725,No,290000,5,Salaried,24,170000,Approved
C128,43,Female,35000,585,Yes,760000,12,Business,54,55000,Rejected
C129,28,Male,79000,800,No,160000,2,Salaried,13,300000,Approved
C130,47,Female,33000,550,Yes,830000,13,Self-Employed,59,40000,Rejected
C131,35,Male,84000,775,No,250000,4,Salaried,18,330000,Approved
C132,50,Female,29000,530,Yes,910000,15,Business,66,22000,Rejected
C133,30,Male,68000,740,No,270000,5,Salaried,23,220000,Approved
C134,42,Female,36000,595,Yes,710000,11,Self-Employed,50,60000,Rejected
C135,26,Male,74000,770,No,190000,3,Salaried,17,260000,Approved
C136,48,Female,32000,560,Yes,860000,14,Business,61,32000,Rejected
C137,33,Male,87000,790,No,210000,4,Salaried,18,345000,Approved
C138,45,Female,39000,615,Yes,670000,10,Self-Employed,47,72000,Rejected
C139,29,Male,59000,720,No,300000,6,Salaried,28,175000,Approved
C140,41,Female,34000,575,Yes,790000,12,Business,56,48000,Rejected
C141,34,Male,82000,780,No,240000,5,Salaried,20,310000,Approved
C142,52,Female,27000,505,Yes,940000,15,Business,69,19000,Rejected
C143,31,Male,65000,735,No,260000,4,Salaried,22,205000,Approved
C144,46,Female,38000,600,Yes,730000,11,Self-Employed,49,68000,Rejected
C145,27,Male,77000,785,No,180000,3,Salaried,15,285000,Approved
C146,49,Female,30000,545,Yes,890000,14,Business,64,28000,Rejected
C147,36,Male,90000,805,No,220000,5,Salaried,19,360000,Approved
C148,44,Female,35000,590,Yes,780000,12,Self-Employed,53,53000,Rejected
C149,28,Male,60000,725,No,280000,5,Salaried,25,190000,Approved
C150,40,Female,33000,565,Yes,820000,13,Business,57,42000,Rejected
